superstar,stock,client,market,type,action type,Date,avg,count,change,buy count
SBI Group,Zydus Wellness Ltd.,SBI MUTUAL FUND,NSE,Block,Purchase,12/28/2023,1632,390000,0.0061,2
SBI Group,Zydus Wellness Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,12/28/2023,1632,390000,0.0061,2
Reliance Group,ADF Foods Ltd.,RELIANCE COMMERCIAL FINANCE LIMITED,BSE,Bulk,Purchase,1/18/2024,192.32,550000,0.005,1
Plutus Wealth,Accelya Solutions India Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,1/12/2024,1709.99,74771,0.005,1
Steadview Capital Mauritius Limited,Aptus Value Housing Finance India Ltd.,STEADVIEW CAPITAL MAURITIUS LIMITED,NSE,Bulk,Purchase,2/15/2024,355.78,6000000,0.012,1
HDFC Group,Avalon Technologies Ltd.,HDFC MUTUAL FUND,NSE,Bulk,Purchase,2/8/2024,474,1431000,0.0218,1
Abu Dhabi Investment Authority,"Azad Engineering Ltd.

10-year high",ABU DHABI INVESTMENT AUTHORITY,NSE,Bulk,Purchase,12/28/2023,719.9,398000,0.0067,1
Reliance Group,BLS E-Services Ltd.,RELIANCE COMMERCIAL FINANCE LIMITED,NSE,Bulk,Purchase,2/6/2024,345,500000,0.0055,1
Jm Financial Services Limited,"Global Health Ltd.

10-year high",JM FINANCIAL INSTITUTIONAL SECURITIES LIMITED,BSE,Bulk,Purchase,2/14/2024,1315.22,3000000,0.0112,1
Eriska Investment Fund Ltd,Grasim Industries Ltd.,ERISKA INVESTMENT FUND LTD,NSE,Block,Purchase,1/25/2024,2060,810000,0.0012,1
SBI Group,Grindwell Norton Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,12/20/2023,2160.25,1213384,0.011,1
Goldman Sachs (Singapore) Pte,HDFC Bank Ltd.,GOLDMAN SACHS (SINGAPORE) PTE.- ODI,BSE,Block,Purchase,1/19/2024,1480,1823439,0.0002,1
Adroit Fin Ser Pvt Ltd,Heera Ispat Ltd.,ADROIT PARTNERS,BSE,Bulk,Purchase,1/30/2024,9.68,50000,0.0085,1
Goldman Sachs (Singapore) Pte,ICICI Securities Ltd.,GOLDMAN SACHS (SINGAPORE) PTE.- ODI,BSE,Block,Purchase,1/25/2024,774,257910,0.0008,1
Nomura India Investment Fund Mother Fund,IIFL Finance Ltd.,NOMURA INDIA INVESTMENT FUND MOTHER FUND,BSE,Bulk,Purchase,12/22/2023,551.01,2620411,0.0069,1
Goldman Sachs India Limited,India Shelter Finance Corporation Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,12/20/2023,593.08,591027,0.0055,1
Plutus Wealth,Indiabulls Housing Finance Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,1/25/2024,195.74,5000000,0.0087,1
Morgan Stanley Asia (Singapore) Pte.,Indigo Paints Ltd.,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,1/16/2024,1475,275000,0.0058,1
Goldman Sachs (Singapore) Pte,"IndusInd Bank Ltd.

Insider Trades",GOLDMAN SACHS (SINGAPORE) PTE.- ODI,BSE,Block,Purchase,1/19/2024,1560,2550334,0.0033,1
CANARA-GROUP,Innova Captab Ltd.,CANARA ROBECO MUTUAL FUND,NSE,Bulk,Purchase,12/29/2023,474.41,900000,0.0157,1
Bonanza Portfolio Ltd,Intellivate Capital Ventures Ltd.,BONANZA PORTFOLIO LIMITED,BSE,Bulk,Purchase,1/1/2024,123.15,250000,0.0019,1
Goldman Sachs (Singapore) Pte,Jio Financial Services Ltd.,GOLDMAN SACHS (SINGAPORE) PTE.- ODI,BSE,Block,Purchase,1/25/2024,239.5,1441606,0.0002,1
SBI Group,Krishna Institute of Medical Sciences Ltd.,SBI LIFE INSURANCE COMPANY LTD,BSE,Bulk,Purchase,2/6/2024,2085,1149074,0.0144,1
Eriska Investment Fund Ltd,Lancer Container Lines Ltd.,ERISKA INVESTMENT FUND LTD,BSE,Bulk,Purchase,1/18/2024,97.47,1250000,0.0055,1
Smallcap World Fund Inc,NCC Ltd.,SMALLCAP WORLD FUND INC,NSE,Bulk,Purchase,1/10/2024,185.23,3615365,0.0058,1
Master Capital Services Ltd,Naksh Precious Metals Ltd.,MASTER CAPITAL SERVICES LIMITED,BSE,Bulk,Purchase,1/19/2024,24.07,198817,0.0189,1
Bonanza Portfolio Ltd,Narmada Agrobase Ltd.,BONANZA PORTFOLIO LTD,NSE,Bulk,Purchase,1/31/2024,32.31,96648,0.0071,1
Morgan Stanley Asia (Singapore) Pte.,"One97 Communications Ltd.

RBI Decision 10-year low",MORGAN STANLEY ASIA (SINGAPORE) PTE. - ODI,NSE,Bulk,Purchase,2/2/2024,487.2,5000000,0.0079,1
Kotak Mahindra Group,Onward Technologies Ltd.,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,BSE,Bulk,Purchase,12/21/2023,620.75,159699,0.0071,1
Malabar Investments,PDS Ltd.,MALABAR INDIA FUND LIMITED,NSE,Bulk,Purchase,1/2/2024,505.17,1000000,0.0076,1
East Bridge Capital Master Fund Limited,Piramal Enterprises Ltd.,EAST BRIDGE CAPITAL MASTER FUND I LIMITED,NSE,Block,Purchase,2/12/2024,883.25,928000,0.0041,1
Abu Dhabi Investment Authority,Samhi Hotels Ltd.,ABU DHABI INVESTMENT AUTHORITY,BSE,Bulk,Purchase,1/11/2024,185,5000000,0.0229,1
Rajasthan Global Securities Private Limited,Sanghi Industries Ltd.,RAJASTHAN GLOBAL SECURITIES PVT LTD,NSE,Bulk,Purchase,1/18/2024,121,2215580,0.0086,1
HDFC Group,Sansera Engineering Ltd.,HDFC STANDARD LIFE INSURANCE CO LTD,BSE,Bulk,Purchase,12/22/2023,965,825000,0.0154,1
Bonanza Portfolio Ltd,Silgo Retail Ltd.,BONANZA PORTFOLIO LTD,NSE,Bulk,Purchase,1/10/2024,36.64,80173,0.0078,1
HDFC Group,"Sudarshan Chemical Industries Ltd.

52 week high Insider Trades",HDFC MUTUAL FUND,BSE,Bulk,Purchase,2/15/2024,513.99,1775551,0.0256,1
Clsa Global Markets Pte. Ltd.,Sunteck Realty Ltd.,CLSA GLOBAL MARKETS PTE LTD,BSE,Bulk,Purchase,1/24/2024,445.5,4652002,0.0318,1
HDFC Group,Symphony Ltd.,HDFC MUTUAL FUND MULTI CAP FUND,NSE,Bulk,Purchase,12/20/2023,880,600000,0.0087,1
SBI Group,"Tips Industries Ltd.

10-year high",SBI MUTUAL FUND,BSE,Bulk,Purchase,1/29/2024,380,6425721,0.05,1
SBI Group,VST Industries Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,1/2/2024,3390,225000,0.0146,1
Morgan Stanley Asia (Singapore) Pte.,"YES Bank Ltd.

Bulk Deal",MORGAN STANLEY ASIA (SINGAPORE) PTE.,BSE,Bulk,Purchase,2/15/2024,27.1,306305668,0.0106,1
Plutus Wealth,Zee Entertainment Enterprises Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,12/28/2023,270.07,6110797,0.0064,1
